,Type Water Body,State Name,Temperature (C) - Min,Temperature (C) - Max,Dissolved - Min,Dissolved - Max,pH - Min,pH - Max,BOD (mg/L) - Min,BOD (mg/L) - Max,Total Coliform (MPN/100ml) - Min,Total Coliform (MPN/100ml) - Max
152,DRAIN,HIMACHAL PRADESH,3.0,18.0,7.6,8.5,7.2,7.9,1.0,1.0,79.0,540.0
153,DRAIN,HIMACHAL PRADESH,8.0,11.0,4.3,8.7,7.4,8.3,1.0,26.0,21.0,1600.0
154,DRAIN,HIMACHAL PRADESH,7.0,9.0,7.2,8.8,7.7,8.3,1.0,7.5,24.0,540.0
155,DRAIN,HIMACHAL PRADESH,6.0,8.0,6.8,8.5,7.7,8.3,1.0,2.6,26.0,350.0
156,DRAIN,MAHARASHTRA,26.0,36.0,4.4,5.2,7.2,8.1,7.2,13.0,150.0,900.0
157,DRAIN,MAHARASHTRA,20.0,29.0,0.3,6.0,7.4,8.0,3.0,18.0,45.0,180.0
158,DRAIN,MAHARASHTRA,26.0,31.0,7.0,7.9,6.0,7.2,1.8,3.0,21.0,43.0
159,DRAIN,ODISHA,23.0,31.0,1.2,6.8,6.9,7.7,4.3,8.0,7900.0,160000.0
160,STP,TAMIL NADU,25.0,39.0,0.3,6.0,6.7,7.9,4.0,18.0,2.0,22000.0
161,DRAIN,TELANGANA,25.0,29.0,1.6,6.0,8.5,11.2,1.0,5.4,17.0,280.0
162,DRAIN,TELANGANA,25.0,28.0,2.8,6.1,7.5,8.8,1.8,3.2,26.0,58.0
163,STP,TELANGANA,25.0,31.0,0.9,4.6,6.9,8.2,4.4,30.0,220.0,920.0
164,WATER TREATMENT PLANT (RAW WATER),UTTAR PRADESH,18.0,26.0,0.3,11.0,7.1,7.5,1.0,1.0,2.0,2.0
